conversation_id,domain,turn_id,speaker,text,intent,dialogue_act
conv_0021,customer_support,0,user,My product is not working properly,complaint,statement
conv_0021,customer_support,1,bot,Is there anything else I can help with?,help,question
conv_0021,customer_support,2,user,Hello; can you assist me?,greeting,question
conv_0021,customer_support,3,bot,Have a great day!,other,statement
conv_0021,customer_support,4,user,I have a question about my bill,inquiry,statement
conv_0021,customer_support,5,bot,Is there anything else I can help with?,help,question
conv_0021,customer_support,6,user,Can you help me return this item?,help,question
conv_0021,customer_support,7,bot,Have a great day!,other,statement
conv_0020,booking,0,user,Thank you for your help,help,statement
conv_0020,booking,1,bot,What dates are you looking for?,inquiry,question
conv_0020,booking,2,user,Hello; I'd like to make a reservation,greeting,greeting
conv_0020,booking,3,bot,I can help you book that,help,statement
conv_0020,booking,4,user,What are your prices?,inquiry,question
conv_0020,booking,5,bot,Your booking is confirmed,booking,statement
conv_0020,booking,6,user,What are your prices?,inquiry,question
conv_0020,booking,7,bot,Thank you for booking with us,booking,statement
conv_0020,booking,8,user,Thank you for your help,help,statement
conv_0020,booking,9,bot,What dates are you looking for?,inquiry,question
conv_0020,booking,10,user,I want to book a room,booking,statement
conv_0025,general_chat,0,user,Bye bye,farewell,farewell
conv_0025,general_chat,1,bot,That's a great question,inquiry,statement
conv_0025,general_chat,2,user,Hello; how are you?,greeting,question
conv_0025,general_chat,3,bot,That's a great question,inquiry,statement
conv_0012,booking,0,user,Hello; I'd like to make a reservation,greeting,greeting
conv_0012,booking,1,bot,Let me check availability,other,statement
conv_0012,booking,2,user,Thank you for your help,help,statement
conv_0012,booking,3,bot,Would you like to add anything else?,other,question
conv_0012,booking,4,user,Hello; I'd like to make a reservation,greeting,greeting
conv_0012,booking,5,bot,Let me show you our options,other,statement
conv_0038,general_chat,0,user,Thanks for your help,help,statement
conv_0038,general_chat,1,bot,Have a wonderful day,other,statement
conv_0038,general_chat,2,user,Hello; how are you?,greeting,question
conv_0038,general_chat,3,bot,Here's a fun fact for you,other,statement
conv_0038,general_chat,4,user,Bye bye,farewell,farewell
conv_0038,general_chat,5,bot,That's a great question,inquiry,statement
conv_0038,general_chat,6,user,That's interesting,other,statement
conv_0038,general_chat,7,bot,Here's a fun fact for you,other,statement
conv_0038,general_chat,8,user,Hello; how are you?,greeting,question
conv_0038,general_chat,9,bot,I'm happy to chat with you,other,statement
conv_0038,general_chat,10,user,Tell me a joke,inquiry,statement
conv_0038,general_chat,11,bot,Have a wonderful day,other,statement
conv_0032,general_chat,0,user,Hello; how are you?,greeting,question
conv_0032,general_chat,1,bot,I'm doing great; thanks!,thanks,statement
conv_0032,general_chat,2,user,Tell me a joke,inquiry,statement
conv_0032,general_chat,3,bot,I'm doing great; thanks!,thanks,statement
conv_0032,general_chat,4,user,That's interesting,other,statement
conv_0032,general_chat,5,bot,Here's a fun fact for you,other,statement
conv_0032,general_chat,6,user,See you later,farewell,farewell
conv_0032,general_chat,7,bot,Have a wonderful day,other,statement
conv_0032,general_chat,8,user,Bye bye,farewell,farewell
conv_0032,general_chat,9,bot,Have a wonderful day,other,statement
conv_0032,general_chat,10,user,See you later,farewell,farewell
conv_0005,booking,0,user,Do you have availability?,other,question
conv_0005,booking,1,bot,Your booking is confirmed,booking,statement
conv_0005,booking,2,user,Thank you for your help,help,statement
conv_0005,booking,3,bot,Your booking is confirmed,booking,statement
conv_0005,booking,4,user,Do you have availability?,other,question
conv_0010,general_chat,0,user,Thanks for your help,help,statement
conv_0010,general_chat,1,bot,Have a wonderful day,other,statement
conv_0010,general_chat,2,user,See you later,farewell,farewell
conv_0010,general_chat,3,bot,Here's a fun fact for you,other,statement
conv_0010,general_chat,4,user,Tell me a joke,inquiry,statement
conv_0046,booking,0,user,I want to book a room,booking,statement
conv_0046,booking,1,bot,Would you like to add anything else?,other,question
conv_0046,booking,2,user,Hello; I'd like to make a reservation,greeting,greeting
conv_0046,booking,3,bot,Would you like to add anything else?,other,question
conv_0046,booking,4,user,Is breakfast included?,other,question
conv_0046,booking,5,bot,Let me show you our options,other,statement
conv_0046,booking,6,user,Do you have availability?,other,question
conv_0046,booking,7,bot,Would you like to add anything else?,other,question
conv_0046,booking,8,user,What are your prices?,inquiry,question
conv_0046,booking,9,bot,Let me show you our options,other,statement
conv_0046,booking,10,user,What are your prices?,inquiry,question
conv_0046,booking,11,bot,Your booking is confirmed,booking,statement
conv_0024,booking,0,user,Goodbye,farewell,farewell
conv_0024,booking,1,bot,Your booking is confirmed,booking,statement
conv_0024,booking,2,user,Hello; I'd like to make a reservation,greeting,greeting
conv_0024,booking,3,bot,Your booking is confirmed,booking,statement
conv_0024,booking,4,user,What are your prices?,inquiry,question
conv_0024,booking,5,bot,Your booking is confirmed,booking,statement
conv_0024,booking,6,user,Do you have availability?,other,question
conv_0024,booking,7,bot,Let me show you our options,other,statement
conv_0024,booking,8,user,What are your prices?,inquiry,question
conv_0001,customer_support,0,user,Thanks for your help,help,statement
conv_0001,customer_support,1,bot,I'd be happy to help with that,help,statement
conv_0001,customer_support,2,user,Hello; can you assist me?,greeting,question
conv_0001,customer_support,3,bot,Is there anything else I can help with?,help,question
conv_0001,customer_support,4,user,Can you help me return this item?,help,question
conv_0001,customer_support,5,bot,Have a great day!,other,statement
conv_0001,customer_support,6,user,Goodbye,farewell,farewell
conv_0001,customer_support,7,bot,I apologize for the inconvenience,other,statement
conv_0017,general_chat,0,user,Hi there,greeting,greeting
conv_0017,general_chat,1,bot,Thanks for talking with me,thanks,statement
conv_0017,general_chat,2,user,Hello; how are you?,greeting,question
conv_0017,general_chat,3,bot,That's a great question,inquiry,statement
conv_0017,general_chat,4,user,Hi there,greeting,greeting
conv_0014,customer_support,0,user,I have a question about my bill,inquiry,statement
conv_0014,customer_support,1,bot,I'd be happy to help with that,help,statement
conv_0014,customer_support,2,user,My product is not working properly,complaint,statement
conv_0014,customer_support,3,bot,Let me transfer you to a specialist,other,statement
conv_0008,booking,0,user,Hello; I'd like to make a reservation,greeting,greeting
conv_0008,booking,1,bot,Thank you for booking with us,booking,statement
conv_0008,booking,2,user,What are your prices?,inquiry,question
conv_0008,booking,3,bot,Would you like to add anything else?,other,question
conv_0008,booking,4,user,What are your prices?,inquiry,question
conv_0026,booking,0,user,Is breakfast included?,other,question
conv_0026,booking,1,bot,What dates are you looking for?,inquiry,question
conv_0026,booking,2,user,Do you have availability?,other,question
conv_0026,booking,3,bot,What dates are you looking for?,inquiry,question
conv_0026,booking,4,user,Is breakfast included?,other,question
conv_0031,general_chat,0,user,What's the weather like?,inquiry,question
conv_0031,general_chat,1,bot,I'm happy to chat with you,other,statement
conv_0031,general_chat,2,user,Bye bye,farewell,farewell
conv_0031,general_chat,3,bot,Have a wonderful day,other,statement
conv_0031,general_chat,4,user,That's interesting,other,statement
conv_0031,general_chat,5,bot,Here's a fun fact for you,other,statement
conv_0031,general_chat,6,user,That's interesting,other,statement
conv_0031,general_chat,7,bot,Have a wonderful day,other,statement
conv_0031,general_chat,8,user,Hi there,greeting,greeting
conv_0031,general_chat,9,bot,I'm doing great; thanks!,thanks,statement
conv_0007,customer_support,0,user,Thanks for your help,help,statement
conv_0007,customer_support,1,bot,Let me transfer you to a specialist,other,statement
conv_0007,customer_support,2,user,I have a question about my bill,inquiry,statement
conv_0007,customer_support,3,bot,Have a great day!,other,statement
conv_0007,customer_support,4,user,I have a question about my bill,inquiry,statement
conv_0007,customer_support,5,bot,I apologize for the inconvenience,other,statement
conv_0007,customer_support,6,user,My product is not working properly,complaint,statement
conv_0007,customer_support,7,bot,Have a great day!,other,statement
conv_0007,customer_support,8,user,Can you help me return this item?,help,question
conv_0007,customer_support,9,bot,Let me check your order status,other,statement
conv_0007,customer_support,10,user,Goodbye,farewell,farewell
conv_0044,customer_support,0,user,Thanks for your help,help,statement
conv_0044,customer_support,1,bot,Is there anything else I can help with?,help,question
conv_0044,customer_support,2,user,Hello; can you assist me?,greeting,question
conv_0044,customer_support,3,bot,Thank you for contacting support,help,statement
conv_0044,customer_support,4,user,When will my package arrive?,inquiry,question
conv_0044,customer_support,5,bot,Have a great day!,other,statement
conv_0044,customer_support,6,user,Goodbye,farewell,farewell
conv_0044,customer_support,7,bot,Have a great day!,other,statement
conv_0016,booking,0,user,What are your prices?,inquiry,question
conv_0016,booking,1,bot,Your booking is confirmed,booking,statement
conv_0016,booking,2,user,Goodbye,farewell,farewell
conv_0016,booking,3,bot,Your booking is confirmed,booking,statement
conv_0016,booking,4,user,Can I cancel my booking?,booking,question
conv_0016,booking,5,bot,Let me check availability,other,statement
conv_0016,booking,6,user,Goodbye,farewell,farewell
conv_0016,booking,7,bot,I can help you book that,help,statement
conv_0041,customer_support,0,user,Thanks for your help,help,statement
conv_0041,customer_support,1,bot,Have a great day!,other,statement
conv_0041,customer_support,2,user,Thanks for your help,help,statement
conv_0041,customer_support,3,bot,I apologize for the inconvenience,other,statement
conv_0041,customer_support,4,user,Thanks for your help,help,statement
conv_0041,customer_support,5,bot,Is there anything else I can help with?,help,question
conv_0043,booking,0,user,Can I cancel my booking?,booking,question
conv_0043,booking,1,bot,What dates are you looking for?,inquiry,question
conv_0043,booking,2,user,Do you have availability?,other,question
conv_0043,booking,3,bot,Let me show you our options,other,statement
conv_0043,booking,4,user,Goodbye,farewell,farewell
conv_0043,booking,5,bot,Thank you for booking with us,booking,statement
conv_0043,booking,6,user,I want to book a room,booking,statement
conv_0043,booking,7,bot,Let me show you our options,other,statement
conv_0043,booking,8,user,Is breakfast included?,other,question
conv_0043,booking,9,bot,Your booking is confirmed,booking,statement
conv_0013,customer_support,0,user,When will my package arrive?,inquiry,question
conv_0013,customer_support,1,bot,Thank you for contacting support,help,statement
conv_0013,customer_support,2,user,Can you help me return this item?,help,question
conv_0013,customer_support,3,bot,Let me transfer you to a specialist,other,statement
conv_0013,customer_support,4,user,Thanks for your help,help,statement
conv_0013,customer_support,5,bot,Have a great day!,other,statement
conv_0013,customer_support,6,user,Thanks for your help,help,statement
conv_0013,customer_support,7,bot,I apologize for the inconvenience,other,statement
conv_0013,customer_support,8,user,Hi; I need help with my order,greeting,greeting
conv_0047,general_chat,0,user,See you later,farewell,farewell
conv_0047,general_chat,1,bot,Have a wonderful day,other,statement
conv_0047,general_chat,2,user,That's interesting,other,statement
conv_0047,general_chat,3,bot,That's a great question,inquiry,statement
conv_0047,general_chat,4,user,That's interesting,other,statement
conv_0047,general_chat,5,bot,I'm doing great; thanks!,thanks,statement
conv_0050,general_chat,0,user,Hello; how are you?,greeting,question
conv_0050,general_chat,1,bot,Have a wonderful day,other,statement
conv_0050,general_chat,2,user,Hi there,greeting,greeting
conv_0050,general_chat,3,bot,I'm doing great; thanks!,thanks,statement
conv_0050,general_chat,4,user,Hi there,greeting,greeting
conv_0050,general_chat,5,bot,Is there anything you'd like to know?,other,question
conv_0050,general_chat,6,user,See you later,farewell,farewell
conv_0050,general_chat,7,bot,Have a wonderful day,other,statement
conv_0050,general_chat,8,user,Tell me a joke,inquiry,statement
conv_0050,general_chat,9,bot,I'm happy to chat with you,other,statement
conv_0050,general_chat,10,user,Hi there,greeting,greeting
conv_0050,general_chat,11,bot,Thanks for talking with me,thanks,statement
conv_0006,general_chat,0,user,Tell me a joke,inquiry,statement
conv_0006,general_chat,1,bot,Here's a fun fact for you,other,statement
conv_0006,general_chat,2,user,That's interesting,other,statement
conv_0006,general_chat,3,bot,I'm happy to chat with you,other,statement
conv_0006,general_chat,4,user,Tell me a joke,inquiry,statement
conv_0006,general_chat,5,bot,I'm happy to chat with you,other,statement
conv_0006,general_chat,6,user,Tell me a joke,inquiry,statement
conv_0006,general_chat,7,bot,I'm happy to chat with you,other,statement
conv_0006,general_chat,8,user,What's the weather like?,inquiry,question
conv_0009,booking,0,user,Goodbye,farewell,farewell
conv_0009,booking,1,bot,Let me check availability,other,statement
conv_0009,booking,2,user,What are your prices?,inquiry,question
conv_0009,booking,3,bot,Let me show you our options,other,statement
conv_0009,booking,4,user,Hello; I'd like to make a reservation,greeting,greeting
conv_0009,booking,5,bot,Would you like to add anything else?,other,question
conv_0009,booking,6,user,What are your prices?,inquiry,question
conv_0009,booking,7,bot,I can help you book that,help,statement
conv_0002,general_chat,0,user,Hi there,greeting,greeting
conv_0002,general_chat,1,bot,I'm happy to chat with you,other,statement
conv_0002,general_chat,2,user,Hi there,greeting,greeting
conv_0002,general_chat,3,bot,I'm happy to chat with you,other,statement
conv_0002,general_chat,4,user,Tell me a joke,inquiry,statement
conv_0002,general_chat,5,bot,I'm happy to chat with you,other,statement
conv_0002,general_chat,6,user,That's interesting,other,statement
conv_0002,general_chat,7,bot,Here's a fun fact for you,other,statement
conv_0002,general_chat,8,user,Hello; how are you?,greeting,question
conv_0002,general_chat,9,bot,Thanks for talking with me,thanks,statement
conv_0002,general_chat,10,user,Bye bye,farewell,farewell
conv_0019,customer_support,0,user,My product is not working properly,complaint,statement
conv_0019,customer_support,1,bot,Is there anything else I can help with?,help,question
conv_0019,customer_support,2,user,Hello; can you assist me?,greeting,question
conv_0019,customer_support,3,bot,I apologize for the inconvenience,other,statement
conv_0019,customer_support,4,user,Hello; can you assist me?,greeting,question
conv_0039,customer_support,0,user,When will my package arrive?,inquiry,question
conv_0039,customer_support,1,bot,I'd be happy to help with that,help,statement
conv_0039,customer_support,2,user,Hi; I need help with my order,greeting,greeting
conv_0039,customer_support,3,bot,I apologize for the inconvenience,other,statement
conv_0039,customer_support,4,user,My product is not working properly,complaint,statement
conv_0039,customer_support,5,bot,Let me check your order status,other,statement
conv_0039,customer_support,6,user,When will my package arrive?,inquiry,question
conv_0039,customer_support,7,bot,Have a great day!,other,statement
conv_0039,customer_support,8,user,Hi; I need help with my order,greeting,greeting
conv_0039,customer_support,9,bot,I'd be happy to help with that,help,statement
conv_0039,customer_support,10,user,Hi; I need help with my order,greeting,greeting
conv_0039,customer_support,11,bot,I'd be happy to help with that,help,statement
conv_0049,customer_support,0,user,Can you help me return this item?,help,question
conv_0049,customer_support,1,bot,Is there anything else I can help with?,help,question
conv_0049,customer_support,2,user,I have a question about my bill,inquiry,statement
conv_0049,customer_support,3,bot,I apologize for the inconvenience,other,statement
conv_0049,customer_support,4,user,Hello; can you assist me?,greeting,question
conv_0049,customer_support,5,bot,I'd be happy to help with that,help,statement
conv_0049,customer_support,6,user,I have a question about my bill,inquiry,statement
conv_0049,customer_support,7,bot,Thank you for contacting support,help,statement
conv_0049,customer_support,8,user,Goodbye,farewell,farewell
conv_0049,customer_support,9,bot,Let me transfer you to a specialist,other,statement
conv_0049,customer_support,10,user,Thanks for your help,help,statement
conv_0049,customer_support,11,bot,Have a great day!,other,statement
conv_0015,general_chat,0,user,Hi there,greeting,greeting
conv_0015,general_chat,1,bot,Have a wonderful day,other,statement
conv_0015,general_chat,2,user,Hello; how are you?,greeting,question
conv_0015,general_chat,3,bot,I'm happy to chat with you,other,statement
conv_0015,general_chat,4,user,What's the weather like?,inquiry,question
conv_0033,booking,0,user,I want to book a room,booking,statement
conv_0033,booking,1,bot,Let me show you our options,other,statement
conv_0033,booking,2,user,I want to book a room,booking,statement
conv_0033,booking,3,bot,Let me check availability,other,statement
conv_0033,booking,4,user,I want to book a room,booking,statement
conv_0033,booking,5,bot,Thank you for booking with us,booking,statement
conv_0033,booking,6,user,What are your prices?,inquiry,question
conv_0033,booking,7,bot,Would you like to add anything else?,other,question
conv_0045,general_chat,0,user,Tell me a joke,inquiry,statement
conv_0045,general_chat,1,bot,Have a wonderful day,other,statement
conv_0045,general_chat,2,user,Hi there,greeting,greeting
conv_0045,general_chat,3,bot,Have a wonderful day,other,statement
conv_0045,general_chat,4,user,Hi there,greeting,greeting
conv_0045,general_chat,5,bot,Thanks for talking with me,thanks,statement
conv_0045,general_chat,6,user,Bye bye,farewell,farewell
conv_0045,general_chat,7,bot,Thanks for talking with me,thanks,statement
conv_0045,general_chat,8,user,See you later,farewell,farewell
conv_0045,general_chat,9,bot,Is there anything you'd like to know?,other,question
conv_0045,general_chat,10,user,What's the weather like?,inquiry,question
conv_0045,general_chat,11,bot,That's a great question,inquiry,statement
conv_0028,booking,0,user,Goodbye,farewell,farewell
conv_0028,booking,1,bot,Let me check availability,other,statement
conv_0028,booking,2,user,Do you have availability?,other,question
conv_0028,booking,3,bot,Your booking is confirmed,booking,statement
conv_0011,booking,0,user,Thank you for your help,help,statement
conv_0011,booking,1,bot,I can help you book that,help,statement
conv_0011,booking,2,user,Hello; I'd like to make a reservation,greeting,greeting
conv_0011,booking,3,bot,Your booking is confirmed,booking,statement
conv_0011,booking,4,user,I want to book a room,booking,statement
